Sujet;Q1;Com1;Q2;Com2;Q3;Com3;Q4;Com4;Q5;Com5;Q6;Com6;Q7;Com7;Q8;Com8;Q9;Com9;Q10;Date;Com Vide;Com Positif;Com Négatif;Com Merci;Com Confort;Com Renouvellement;Com Soucis Techniques;Com Durée;Com Pratique;Com Autre
1;3;;3;;3;;4;;4;;4;;3;;4;;4;;9;30/03/2023;0;1;0;0;0;1;0;0;0;0
2;4;;4;;4;;4;;2;souci de clareté;4;;4;;4;;4;;9;03/03/2023;0;0;0;0;0;0;0;0;0;0
3;3;;3;;2;;3;;4;;4;;3;;3;;3;;8;03/03/2023;0;0;0;1;1;0;0;0;0;0
4;4;;4;;4;;4;;4;;4;;4;;4;;4;;10;03/03/2023;0;1;0;0;0;1;0;0;0;0
5;4;;4;;4;;4;;4;;4;;4;;4;;4;;9;03/03/2023;1;0;0;0;0;0;0;0;0;0
6;4;;4;;4;;3;;3;;4;;4;;3;;4;; ;30/03/2023;0;1;0;0;0;1;0;0;0;0
7;4;;4;;4;;4;;4;;4;;4;;4;;4;;9;03/03/2023;1;0;0;0;0;0;0;0;0;0
8;4;;4;;4;;4;;4;;4;;4;;4;;4;;10;03/03/2023;0;1;0;0;0;0;0;0;0;0
9;4;;4;;4;;4;;4;;4;;4;;3;;4;;9;03/03/2023;0;0;0;0;0;1;0;0;0;0
10;4;;3;;4;;4;;4;;4;;4;;4;;4;; ;03/03/2023;0;1;0;0;0;0;0;0;0;1
11;4;;4;;3;;3;;4;;4;;4;;3;;3;;8;03/03/2023;0;1;0;1;0;0;0;0;0;0
12;4;;4;;4;;4;;4;;4;;4;; ;Je n'avais pas d'attente, juste de la curiosité ;4;;10;03/03/2023;0;1;0;0;0;0;0;0;0;0
13;4;;4;;2;;4;;4;;4;;4;;4;;4;;8;03/03/2023;1;0;0;0;0;0;0;0;0;0
14;2;;4;;3;;4;;4;;4;;3;;4;;4;;8;03/03/2023;0;1;0;1;0;0;1;0;0;0
15;4;;4;;4;;4;;4;;4;;4;;4;;4;;10;03/03/2023;0;1;0;1;0;1;0;0;0;0
16;4;;4;;3;;4;;4;;4;;4;;4;;4;;10;03/03/2023;0;1;0;1;0;0;0;0;0;0
17;3;;4;;4;;4;;4;;4;;4;;4;;4;;9;03/03/2023;0;0;0;0;0;0;1;0;0;0
18;3;;4;;3;;4;;4;;4;;4;;4;;3;;10;03/03/2023;0;1;0;1;0;1;0;0;0;0
19;4;;4;;4;;4;;4;;4;;4;;4;;4;;10;03/03/2023;0;1;0;1;0;1;0;0;0;0
20;4;;4;;4;;4;;4;;4;;4;;4;;4;;10;03/03/2023;0;0;0;0;0;1;0;0;0;0
21;4;;4;;4;;4;;4;;4;;4;;4;;4;;10;03/03/2023;0;0;0;0;0;1;0;0;0;0
22;4;;4;;4;;4;;4;;4;;4;;4;;4;;10;03/03/2023;0;1;0;0;0;1;0;0;0;0
23;3;;4;;4;;4;;4;;4;;4;;3;;4;;8;03/03/2023;1;0;0;0;0;0;0;0;0;0
24;3;;4;;2;;3;;4;;4;;3;;3;;4;;8;03/03/2023;0;1;0;0;1;0;0;0;0;0
25;4;;4;;4;;3;;4;;4;;4;;4;;4;;8;03/03/2023;0;1;0;0;0;0;0;1;0;0
26;4;;4;;4;;4;;4;;4;;4;;4;; ;;9;27/03/2023;0;0;0;0;0;0;0;1;0;0
27;4;;4;;3;;4;;4;;4;;4;;4;;4;;8;03/03/2023;0;0;0;0;0;1;0;0;0;0
28;4;; ;difficile à évaluer;3;;4;;4;;4;;4;;4;;4;;9;30/03/2023;0;0;0;0;1;0;0;0;0;0
29;4;;4;;4;;4;;4;;4;;4;;4;;4;;10;03/03/2023;0;1;0;1;0;0;0;0;0;0
30;4;;4;;3;;4;;4;;4;;3;;2;;4;;8;03/03/2023;0;1;0;0;0;1;0;0;0;0
31;4;;4;;4;;4;;4;;4;;4;;4;;4;;10;03/03/2023;1;0;0;0;0;0;0;0;0;0
32;4;;4;;4;;4;;4;;4;;4;;4;;4;;10;03/03/2023;1;0;0;0;0;0;0;0;0;0
33;4;;4;;4;;4;;4;;4;;4;;4;;4;;10;03/03/2023;0;0;0;1;0;0;0;0;0;0
34;4;;2;;4;;3;;4;;4;;4;;3;;4;;8;03/03/2023;1;0;0;0;0;0;0;0;0;0
35;4;;4;;4;;4;;4;;4;;4;;3;;4;;9,9;03/03/2023;0;1;0;0;0;0;0;0;0;0
36;3;;2;;2;;3;;3;;3;;3;;3;;2;; ;31/03/2023;0;0;1;0;0;0;0;0;0;0
37;4;;3;pas tous débutants ;4;; ;;4;;4;;3;;4;;4;;9;30/03/2023;0;0;0;0;0;0;0;0;1;0
